year,city,country,city_avg_temp,city_moving_temp(7days),
1976,Seattle,United States,7.46,7.37,
1977,Seattle,United States,7.63,7.381428571,
1978,Seattle,United States,7.78,7.478571429,
1979,Seattle,United States,7.88,7.591428571,
1980,Seattle,United States,7.75,7.615714286,
1981,Seattle,United States,8.23,7.688571429,
1982,Seattle,United States,7.35,7.725714286,
1983,Seattle,United States,7.94,7.794285714,
1984,Seattle,United States,7.41,7.762857143,
1985,Seattle,United States,6.71,7.61,
1986,Seattle,United States,8.25,7.662857143,
1987,Seattle,United States,8.67,7.794285714,
1988,Seattle,United States,8.1,7.775714286,
1989,Seattle,United States,7.87,7.85,
1990,Seattle,United States,8.09,7.871428571,
1991,Seattle,United States,8.2,7.984285714,
1992,Seattle,United States,9.03,8.315714286,
1993,Seattle,United States,7.68,8.234285714,
1994,Seattle,United States,8.35,8.188571429,
1995,Seattle,United States,8.62,8.262857143,
1996,Seattle,United States,7.61,8.225714286,
1997,Seattle,United States,8.41,8.271428571,
1998,Seattle,United States,8.7,8.342857143,
1999,Seattle,United States,7.79,8.165714286,
2000,Seattle,United States,7.72,8.171428571,
2001,Seattle,United States,7.9,8.107142857,
2002,Seattle,United States,8.03,8.022857143,
2003,Seattle,United States,8.74,8.184285714,
2004,Seattle,United States,9.04,8.274285714,
2005,Seattle,United States,8.57,8.255714286,
2006,Seattle,United States,8.49,8.355714286,
2007,Seattle,United States,8.04,8.401428571,
2008,Seattle,United States,7.57,8.354285714,
2009,Seattle,United States,8.02,8.352857143,
2010,Seattle,United States,8.25,8.282857143,
2011,Seattle,United States,7.35,8.041428571,
2012,Seattle,United States,8.08,7.971428571,
2013,Seattle,United States,9.95,8.18,
